Field Unit,Protected Heritage Area,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Western Arctic Field Unit,Aulavik National Park of Canada,,,,,,,,,1,,,
Banff Field Unit,Banff National Park of Canada,790,923,920,959,1294,1377,1546,1258,1476,2336,2269,2013
"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,300,303,267,322,294,279,541,438,386,855,603,458
Eastern and Central Ontario Field Unit,Bruce Peninsula National Park of Canada,75,49,9,15,6,21,23,55,21,,17,4
Northern Prairies Field Unit,Elk Island National Park of Canada,59,92,59,65,140,133,130,155,90,153,169,173
Eastern and Central Ontario Field Unit,Fathom Five National Marine Park of Canada,,,,,,,,1,,,1,
Gaspesie Field Unit,Forillon National Park of Canada,35,69,33,31,14,20,18,90,89,50,35,75
Saskatchewan South Field Unit,Fort Livingstone National Historic Site of Canada,,6,,,,,,,,,,
Saskatchewan South Field Unit,Fort Walsh National Historic Site of Canada,,,,,,,,,,,,1
New Brunswick South Field Unit,Fundy National Park of Canada,1,3,2,8,1,1,3,1,8,12,7,11
Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,14,106,75,43,97,132,81,46,97,76,59,37
Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,25,72,38,71,91,151,158,189,146,90,112,164
Saskatchewan South Field Unit,Grasslands National Park of Canada,19,17,46,42,27,46,77,89,82,47,33,18
Western Arctic Field Unit,Ivvavik National Park of Canada,,6,,,3,2,2,1,2,,,
Jasper Field Unit,Jasper National Park of Canada,815,1162,1357,1176,1704,1608,1573,1816,2136,3558,2532,3028
Mainland Nova Scotia Field Unit,Kejimkujik National Park and National Historic Site of Canada,12,10,8,5,10,11,8,5,12,3,1,3
"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,116,132,120,126,151,101,126,165,201,225,194,244
Northern New Brunswick Field Unit,Kouchibouguac National Park of Canada,8,2,6,9,10,9,20,15,25,12,10,14
Mount Revelstoke and Glacier Field Unit,Mount Revelstoke National Park of Canada,10,48,23,31,44,57,87,76,32,51,54,51
Southwest Northwest Territories Field Unit,Nahanni National Park Reserve of Canada,6,1,,1,,8,,,1,1,,1
Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,119,109,89,118,134,102,201,371,566,579,408,455
Southwestern Ontario Field Unit,Point Pelee National Park of Canada,1,1,19,32,30,17,4,24,37,53,47,43
Mainland Nova Scotia Field Unit,Port-Royal National Historic Site of Canada,,1,,,,,,,,,,
Northern Prairies Field Unit,Prince Albert National Park of Canada,116,102,96,92,106,75,22,179,89,85,102,122
Prince Edward Island Field Unit,Prince Edward Island National Park of Canada,58,54,11,21,23,41,28,27,32,20,26,22
Manitoba Field Unit,Prince of Wales Fort National Historic Site of Canada,26,,5,,,,,8,19,16,13,
Mainland Nova Scotia Field Unit,Sable Island National Park Reserve,,,,,,,,,2,1,2,
Western Arctic Field Unit,Saoyú-?ehdacho National Historic Site of Canada,,,,,,,,3,,,,
Newfoundland East Field Unit,Terra Nova National Park of Canada,30,22,36,35,25,18,23,12,17,19,21,26
Southwest Northwest Territories Field Unit,Thaidene Nene National Park Reserve,,,,,,,,,,,,1
Eastern and Central Ontario Field Unit,Thousand Islands National Park of Canada,,6,1,13,8,7,13,6,5,4,10,7
Manitoba Field Unit,Wapusk National Park of Canada,12,4,2,1,2,3,1,3,2,1,,
Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,264,202,175,220,221,156,363,508,625,484,270,610
Southwest Northwest Territories Field Unit,Wood Buffalo National Park of Canada,35,26,22,21,26,31,29,18,25,21,18,25
"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,94,149,137,99,149,117,118,123,121,125,210,367
Manitoba Field Unit,York Factory National Historic Site of Canada,,,,,,,,,,1,,
